Avg time (h),Avg - GntR - gluconate,Avg - GntR + gluconate,Avg + GntR + gluconate,Avg + GntR - gluconate,STD - GntR - gluconate,STD - GntR + gluconate,STD + GntR + gluconate,STD + GntR - gluconate
3.40006111,2.4999,2.3078,0.5407,0.3212,0.02886069,0.77028175,0.12370287,0.17704538
3.50005556,2.5886,2.3901,0.5389,0.3285,0.0009952,0.82103675,0.1304702,0.17027805
3.60005833,2.7117,2.4718,0.5436,0.3237,0.03383667,0.87278694,0.12240911,0.18560406
3.70006111,2.7899,2.5429,0.5463,0.3266,0.06070696,0.88970527,0.13116684,0.18331511
3.80005556,2.9158,2.6379,0.5450,0.3283,0.08956765,0.91856596,0.11783121,0.16958141
3.90005833,3.0298,2.7314,0.5404,0.3379,0.10748117,0.92951312,0.12002064,0.1913762
4.00006111,3.1509,2.8180,0.5447,0.3408,0.13733706,0.98623929,0.12041872,0.18570358
4.06672778,4.8890,4.0523,0.8252,0.6138,0.41201117,1.36839458,0.11464659,0.20381615
4.16672778,5.0642,4.3767,0.8048,0.5949,0.46674695,1.52464036,0.12917645,0.18361367
4.26672778,5.1332,4.6033,0.8412,0.5751,0.49063166,1.64804467,0.1406212,0.1761497
4.36672778,5.2324,4.9932,0.8652,0.5704,0.49162685,2.04214231,0.14490055,0.18590262
4.46672778,5.3570,5.1325,0.9006,0.5580,0.5045644,2.13170995,0.13664042,0.18361367
4.56672778,5.4625,5.2240,0.9261,0.5578,0.51252597,2.15957544,0.14858277,0.18032953
4.66672778,5.6110,5.3190,0.9438,0.5485,0.51352116,2.17251299,0.14917989,0.17475643
4.76672778,5.6941,5.4006,0.9470,0.5461,0.50754999,2.17848417,0.16440639,0.16689438
4.86672778,5.8440,5.5167,0.9610,0.5416,0.50655479,2.20535446,0.14898085,0.16470495
4.96672778,5.9495,5.5681,0.9662,0.5357,0.50257401,2.19241691,0.12808173,0.16420735
5.06672778,6.0811,5.7088,0.9573,0.5376,0.49958842,2.21630162,0.13086828,0.17087516
5.16672778,6.2289,5.7919,0.9590,0.5260,0.48764607,2.19241691,0.1314654,0.14689094
5.26672778,6.3436,5.8665,0.9418,0.5211,0.51053558,2.12076279,0.12927597,0.1705766
5.36672778,6.5076,5.9917,0.9498,0.5188,0.49759803,2.14862828,0.11026772,0.14927941
5.46672778,6.6124,6.0727,0.9340,0.5250,0.49063166,2.16753701,0.11106388,0.1568429
5.56672778,6.7693,6.1719,0.9401,0.5154,0.45779019,2.13668593,0.10867541,0.13584426
5.66672778,6.9220,6.2514,0.9359,0.5152,0.45281421,2.09190211,0.10648598,0.15465347
5.76672778,7.0726,6.3682,0.9357,0.5169,0.46674695,2.13370034,0.10141048,0.16510303
5.86672778,7.2218,6.4977,0.9316,0.5137,0.42295832,2.18146975,0.09275227,0.16828765
5.96672778,7.4006,6.6223,0.9357,0.5148,0.39111205,2.20435926,0.08867197,0.16261504
6.06672778,7.5561,6.7166,0.9366,0.5129,0.36822254,2.1705226,0.07643106,0.16560062
6.16672778,7.7369,6.8517,0.9411,0.5124,0.30552519,2.16057064,0.08051136,0.16938237
6.26672778,7.8981,6.9720,0.9406,0.5119,0.31448195,2.17549858,0.09235419,0.18500695
6.36672778,8.0431,7.0839,0.9296,0.5138,0.29656842,2.13270515,0.09424507,0.17525403
6.46672778,8.2521,7.2380,0.9481,0.5161,0.28164048,2.16554662,0.06707621,0.17167132
6.56672778,8.3872,7.3675,0.9469,0.5300,0.21396715,2.16355623,0.08548734,0.16908381
6.66672778,8.5701,7.5329,0.9454,0.5249,0.19804402,2.19042652,0.06737477,0.18450935
6.76672778,8.8143,7.6609,0.9542,0.5263,0.19306803,2.16057064,0.05891561,0.18510647
6.86672778,8.9818,7.7946,0.9511,0.5343,0.19306803,2.20236887,0.07364451,0.18789302
6.96672778,9.1366,7.9312,0.9708,0.5339,0.1771449,2.22426318,0.07085796,0.18888821
7.06672778,9.3344,8.1254,0.9748,0.5422,0.14231304,2.29790769,0.06608102,0.18490743
7.16672778,9.5117,8.3006,0.9661,0.5442,0.18411127,2.35662426,0.06160264,0.17993145
7.26672778,9.7017,8.4794,0.9812,0.5490,0.16022656,2.370557,0.07165412,0.18082712
7.36672778,9.9234,8.6651,0.9772,0.5568,0.13932745,2.38249936,0.07473922,0.18709686
7.46672778,10.1296,8.8411,0.9877,0.5537,0.16022656,2.48998053,0.06618054,0.19903921
7.56672778,10.2717,9.0437,0.9881,0.5607,0.11444755,2.4979421,0.03980784,0.19475987
7.66672778,10.4913,9.2105,0.9903,0.5601,0.14032264,2.51486043,0.07891905,0.2010296
7.76672778,10.6573,9.3527,1.0033,0.5697,0.09454363,2.54073553,0.06538438,0.2172513
7.86672778,10.8987,9.5405,1.0098,0.5782,0.11544274,2.60542327,0.05712425,0.20779694
7.96672778,11.0528,9.7390,1.0010,0.5912,0.09056284,2.68702935,0.07473922,0.18849013
8.06672778,11.2724,9.9761,1.0196,0.5983,0.050755,2.72783239,0.05672618,0.20849357
8.16672778,11.4377,10.1577,1.0260,0.6064,0.05971176,2.81540964,0.07115652,0.20600558
8.26672778,11.6172,10.3730,1.0315,0.6058,0.05871657,2.90696768,0.06001032,0.21655466
8.36672778,11.8065,10.5553,1.0442,0.6193,0.07762529,2.86815503,0.04408719,0.20928973
8.46672778,12.0260,10.7481,1.0442,0.6316,0.05971176,2.91194366,0.05214827,0.20998637
8.56672778,12.2702,10.9071,1.0570,0.6310,0.09056284,3.00748248,0.04766989,0.2066027
8.66672778,12.4996,11.0303,1.0594,0.6340,0.11245715,3.0283816,0.05792041,0.20292048
